Date,Utilisation
"Apr 02, 1999",93
"Apr 09, 1999",94.9
"Apr 16, 1999",94.8
"Apr 23, 1999",94.2
"Apr 30, 1999",95.5
"May 07, 1999",94
"May 14, 1999",93.4
"May 21, 1999",93.9
"May 28, 1999",93.8
"Jun 04, 1999",94.5
"Jun 11, 1999",93.7
"Jun 18, 1999",92.3
"Jun 25, 1999",92.6
"Jul 02, 1999",92.3
"Jul 09, 1999",93.8
"Jul 16, 1999",94.9
"Jul 23, 1999",95.8
"Jul 30, 1999",95.3
"Aug 06, 1999",96.9
"Aug 13, 1999",95.4
"Aug 20, 1999",95.5
"Aug 27, 1999",93.6
"Sep 03, 1999",96.5
"Sep 10, 1999",94.3
"Sep 17, 1999",93.8
"Sep 24, 1999",93.6
"Oct 01, 1999",93.9
"Oct 08, 1999",92.5
"Oct 15, 1999",90
"Oct 22, 1999",88.9
"Oct 29, 1999",90.7
"Nov 05, 1999",90.7
"Nov 12, 1999",90.8
"Nov 19, 1999",91.5
"Nov 26, 1999",91.2
"Dec 03, 1999",91.6
"Dec 10, 1999",90
"Dec 17, 1999",90.2
"Dec 24, 1999",88.8
"Dec 31, 1999",89
"Jan 07, 2000",86.1
"Jan 14, 2000",85.3
"Jan 21, 2000",85.7
"Jan 28, 2000",87.4
"Feb 04, 2000",84.6
"Feb 11, 2000",85.3
"Feb 18, 2000",86.2
"Feb 25, 2000",86.7
"Mar 03, 2000",86.9
"Mar 10, 2000",89.3
"Mar 17, 2000",89
"Mar 24, 2000",91.3
"Mar 31, 2000",92.3
"Apr 07, 2000",91.3
"Apr 14, 2000",91.3
"Apr 21, 2000",91.5
"Apr 28, 2000",93.1
"May 05, 2000",92.4
"May 12, 2000",93.8
"May 19, 2000",94.8
"May 26, 2000",95.3
"Jun 02, 2000",95.6
"Jun 09, 2000",95
"Jun 16, 2000",96.1
"Jun 23, 2000",96
"Jun 30, 2000",95.5
"Jul 07, 2000",96
"Jul 14, 2000",96.1
"Jul 21, 2000",96
"Jul 28, 2000",96.2
"Aug 04, 2000",95.8
"Aug 11, 2000",95.5
"Aug 18, 2000",95.6
"Aug 25, 2000",94.9
"Sep 01, 2000",96
"Sep 08, 2000",96
"Sep 15, 2000",93.3
"Sep 22, 2000",95.3
"Sep 29, 2000",94.7
"Oct 06, 2000",92.4
"Oct 13, 2000",90.9
"Oct 20, 2000",92.4
"Oct 27, 2000",93.5
"Nov 03, 2000",93
"Nov 10, 2000",92.8
"Nov 17, 2000",92.1
"Nov 24, 2000",90.1
"Dec 01, 2000",91.8
"Dec 08, 2000",93.2
"Dec 15, 2000",93.3
"Dec 22, 2000",93
"Dec 29, 2000",93.5
"Jan 05, 2001",91.8
"Jan 12, 2001",92.2
"Jan 19, 2001",90.5
"Jan 26, 2001",90.8
"Feb 02, 2001",89.8
"Feb 09, 2001",89.6
"Feb 16, 2001",89.3
"Feb 23, 2001",91.1
"Mar 02, 2001",91.8
"Mar 09, 2001",90.1
"Mar 16, 2001",91.2
"Mar 23, 2001",89.3
"Mar 30, 2001",89.1
"Apr 06, 2001",90.4
"Apr 13, 2001",93.7
"Apr 20, 2001",96.2
"Apr 27, 2001",96.2
"May 04, 2001",95.8
"May 11, 2001",93.7
"May 18, 2001",95.4
"May 25, 2001",95.5
"Jun 01, 2001",97.6
"Jun 08, 2001",97.2
"Jun 15, 2001",93.6
"Jun 22, 2001",93.1
"Jun 29, 2001",95.7
"Jul 06, 2001",96.1
"Jul 13, 2001",94.4
"Jul 20, 2001",92.6
"Jul 27, 2001",93
"Aug 03, 2001",93.1
"Aug 10, 2001",93.4
"Aug 17, 2001",91.9
"Aug 24, 2001",91.6
"Aug 31, 2001",93.3
"Sep 07, 2001",95.4
"Sep 14, 2001",90.9
"Sep 21, 2001",89.3
"Sep 28, 2001",90.8
"Oct 05, 2001",91.7
"Oct 12, 2001",91.1
"Oct 19, 2001",92.2
"Oct 26, 2001",92.5
"Nov 02, 2001",91.2
"Nov 09, 2001",88.5
"Nov 16, 2001",89.8
"Nov 23, 2001",90.8
"Nov 30, 2001",91.3
"Dec 07, 2001",89.1
"Dec 14, 2001",89.2
"Dec 21, 2001",88
"Dec 28, 2001",90.2
"Jan 04, 2002",89.6
"Jan 11, 2002",90
"Jan 18, 2002",87.7
"Jan 25, 2002",84.8
"Feb 01, 2002",85.5
"Feb 08, 2002",86.3
"Feb 15, 2002",86.5
"Feb 22, 2002",87.6
"Mar 01, 2002",85.4
"Mar 08, 2002",84.7
"Mar 15, 2002",86.1
"Mar 22, 2002",87.7
"Mar 29, 2002",88.3
"Apr 05, 2002",89.7
"Apr 12, 2002",90.9
"Apr 19, 2002",90.7
"Apr 26, 2002",91.2
"May 03, 2002",93.2
"May 10, 2002",92.5
"May 17, 2002",90.8
"May 24, 2002",91.8
"May 31, 2002",92.8
"Jun 07, 2002",93
"Jun 14, 2002",93.2
"Jun 21, 2002",92.5
"Jun 28, 2002",93.7
"Jul 05, 2002",94.1
"Jul 12, 2002",92.8
"Jul 19, 2002",92.9
"Jul 26, 2002",93.8
"Aug 02, 2002",91.8
"Aug 09, 2002",92.1
"Aug 16, 2002",92.8
"Aug 23, 2002",91.9
"Aug 30, 2002",92.2
"Sep 06, 2002",92.9
"Sep 13, 2002",91.2
"Sep 20, 2002",91.5
"Sep 27, 2002",89.9
"Oct 04, 2002",82.9
"Oct 11, 2002",79.7
"Oct 18, 2002",86.3
"Oct 25, 2002",88.6
"Nov 01, 2002",89.6
"Nov 08, 2002",89.1
"Nov 15, 2002",90.2
"Nov 22, 2002",91
"Nov 29, 2002",92.1
"Dec 06, 2002",91.8
"Dec 13, 2002",89.2
"Dec 20, 2002",88
"Dec 27, 2002",89.9
"Jan 03, 2003",89.1
"Jan 10, 2003",90.2
"Jan 17, 2003",88
"Jan 24, 2003",85.2
"Jan 31, 2003",83.6
"Feb 07, 2003",84.3
"Feb 14, 2003",86.6
"Feb 21, 2003",86.8
"Feb 28, 2003",85.6
"Mar 07, 2003",87.9
